PostblackDeath,Site name,Site Code,Context,Period for SRP98 (14 = 1120-1200; 15 = 1200-1250),"Sex (0 is male, 1 is female)",Age - point estimate
1,St Mary Graces,MIN86,13670,,1,59.53
1,St Mary Graces,MIN86,9403,,0,65.48
1,St Mary Graces,MIN86,13840,,0,65.48
1,St Mary Graces,MIN86,12349,,0,65.53
1,St Mary Graces,MIN86,10420,,0,66.01
1,St Mary Graces,MIN86,12493,,1,66.31
1,St Mary Graces,MIN86,12110,,0,66.45
1,St Mary Graces,MIN86,13678,,0,68.09
1,St Mary Graces,MIN86,10219,,1,68.13
1,St Mary Graces,MIN86,9425,,0,68.21
1,St Mary Graces,MIN86,16102,,1,68.33
1,St Mary Graces,MIN86,16042,,0,69.14
1,St Mary Graces,MIN86,20000,,1,69.31
1,St Mary Graces,MIN86,10270,,0,69.44
1,St Mary Graces,MIN86,12201,,0,70.69
1,St Mary Graces,MIN86,13825,,0,71.42
1,St Mary Graces,MIN86,13975,,0,71.89
1,St Mary Graces,MIN86,10124,,1,72.01
1,St Mary Graces,MIN86,13849,,1,72.2
1,St Mary Graces,MIN86,14432,,0,72.23
1,St Mary Graces,MIN86,12339,,1,72.24
1,St Mary Graces,MIN86,16304,,0,72.63
1,St Mary Graces,MIN86,13831,,0,73.68
1,St Mary Graces,MIN86,9327,,0,73.91
1,St Mary Graces,MIN86,10164,,0,74.27
1,St Mary Graces,MIN86,13622,,0,74.3
1,St Mary Graces,MIN86,13518,,1,74.64
1,St Mary Graces,MIN86,9399,,1,74.78
1,St Mary Graces,MIN86,16009,,0,74.78
1,St Mary Graces,MIN86,13624,,0,75.16
1,St Mary Graces,MIN86,9417,,1,75.22
1,St Mary Graces,MIN86,12403,,0,75.27
1,St Mary Graces,MIN86,13984,,0,75.53
1,St Mary Graces,MIN86,10493,,1,75.75
1,St Mary Graces,MIN86,10070,,0,75.93
1,St Mary Graces,MIN86,9420,,0,75.98
1,St Mary Graces,MIN86,13747,,0,76.42
1,St Mary Graces,MIN86,12005,,0,76.51
1,St Mary Graces,MIN86,12195,,0,77
1,St Mary Graces,MIN86,13633,,1,77.11
1,St Mary Graces,MIN86,10287,,0,77.6
1,St Mary Graces,MIN86,10348,,0,77.94
1,St Mary Graces,MIN86,12473,,1,78.13
1,St Mary Graces,MIN86,12497,,1,78.41
1,St Mary Graces,MIN86,13774,,0,78.73
1,St Mary Graces,MIN86,13724,,1,78.85
1,St Mary Graces,MIN86,10159,,1,80.61
1,St Mary Graces,MIN86,16332,,0,83.5
